|         | scrc rcsc                                                           | eng src orc                                  | chi src orc                                   | kor src orc                                                     | jap src orc                                                     | right center                                                                         |
| AvgT    | 17.88888888888889/19.444444444444443                                | 12.2/12.714285714285714                      | 14.2/10.428571428571429                       | 9.777777777777779/9.444444444444445                             | 9.777777777777779/9.444444444444445                             | 13.25/13.545454545454545                                                             |
| AvgTI   | 21.333333333333332/16.333333333333332                               | 13.5/14.0                                    | 20.0/11.5                                     | 21.0/12.0                                                       | 21.0/12.0                                                       | 10.0/5.0                                                                             |
| AvgTL   | 16.166666666666668/21.0                                             | 11.333333333333334/12.2                      | 12.75/10.0                                    | 8.375/8.714285714285714                                         | 8.375/8.714285714285714                                         | 14.333333333333334/15.444444444444445                                                |
| AvgTP   | 9.5/17.0                                                            | 7.0/9.5                                      | 9.5/7.5                                       | 6.5/6.333333333333333                                           | 4.333333333333333/3.0                                           | 13.0/15.4                                                                            |
| AvgTU   | 19.5/23.0                                                           | 13.5/14.0                                    | 16.0/11.666666666666666                       | 10.25/10.5                                                      | 10.8/11.0                                                       | 15.4/15.5                                                                            |
| BoxT    | 9/9                                                                 | 5/7                                          | 5/7                                           | 9/9                                                             | 9/9                                                             | 12/11                                                                                |
| BoxTI   | 3/3                                                                 | 2/2                                          | 1/2                                           | 1/2                                                             | 1/2                                                             | 3/2                                                                                  |
| BoxTL   | 6/6                                                                 | 3/5                                          | 4/5                                           | 8/7                                                             | 8/7                                                             | 9/9                                                                                  |
| BoxTP   | 2/2                                                                 | 1/2                                          | 2/2                                           | 4/3                                                             | 3/2                                                             | 4/5                                                                                  |
| BoxTU   | 4/4                                                                 | 2/3                                          | 2/3                                           | 4/4                                                             | 5/5                                                             | 5/4                                                                                  |
| Con     | 36/33                                                               | 10/21                                        | 10/19                                         | 23/21                                                           | 23/21                                                           | 46/45                                                                                |
| ConI    | 3/2                                                                 | 1/1                                          | 0/1                                           | 0/1                                                             | 0/1                                                             | 1/0                                                                                  |
| ConL    | 15/14                                                               | 3/10                                         | 6/9                                           | 16/10                                                           | 16/10                                                           | 28/32                                                                                |
| ConP    | 1/1                                                                 | 0/1                                          | 1/1                                           | 3/1                                                             | 1/0                                                             | 4/8                                                                                  |
| ConU    | 6/6                                                                 | 1/3                                          | 1/3                                           | 3/3                                                             | 6/6                                                             | 8/6                                                                                  |
| Div     | 0/4                                                                 | 0/0                                          | 0/2                                           | 13/15                                                           | 13/15                                                           | 20/10                                                                                |
| DivI    | 0/1                                                                 | 0/0                                          | 0/0                                           | 0/0                                                             | 0/0                                                             | 2/1                                                                                  |
| DivL    | 0/1                                                                 | 0/0                                          | 0/1                                           | 12/11                                                           | 12/11                                                           | 8/4                                                                                  |
| DivP    | 0/0                                                                 | 0/0                                          | 0/0                                           | 3/2                                                             | 2/1                                                             | 2/2                                                                                  |
| DivU    | 0/0                                                                 | 0/0                                          | 0/0                                           | 3/3                                                             | 4/4                                                             | 2/0                                                                                  |
| MaxT    | 36/36                                                               | 21/21                                        | 20/20                                         | 22/22                                                           | 22/22                                                           | 21/33                                                                                |
| MaxTI   | 36/36                                                               | 21/21                                        | 20/20                                         | 21/21                                                           | 21/21                                                           | 13/5                                                                                 |
| MaxTL   | 36/36                                                               | 21/21                                        | 20/20                                         | 22/22                                                           | 22/22                                                           | 21/33                                                                                |
| MaxTP   | 10/25                                                               | 7/10                                         | 12/12                                         | 13/13                                                           | 7/3                                                             | 19/33                                                                                |
| MaxTU   | 36/36                                                               | 21/21                                        | 20/20                                         | 22/22                                                           | 22/22                                                           | 21/23                                                                                |
| Sizeavg | 4.75/4.5                                                            | 5.0/5.333333333333333                        | 5.0/5.5                                       | 9.2/9.8                                                         | 9.2/9.8                                                         | 6.714285714285714/5.2                                                                |
| Sizebox | 4/4                                                                 | 2/3                                          | 3/4                                           | 5/5                                                             | 5/5                                                             | 7/5                                                                                  |
| Sizemax | 8/8                                                                 | 6/9                                          | 6/10                                          | 24/24                                                           | 24/24                                                           | 13/8                                                                                 |
| Sizer   | [8, 4, 4, 3]/[8, 4, 3, 3]                                           | [6, 4]/[9, 4, 3]                             | [6, 5, 4]/[10, 5, 4, 3]                       | [24, 7, 5, 5, 5]/[24, 11, 5, 5, 4]                              | [24, 7, 5, 5, 5]/[24, 11, 5, 5, 4]                              | [13, 9, 8, 5, 5, 4, 3]/[8, 8, 4, 3, 3]                                               |
| Sizesum | 19/18                                                               | 10/16                                        | 15/22                                         | 46/49                                                           | 46/49                                                           | 47/26                                                                                |
| SumT    | 161/175                                                             | 61/89                                        | 71/73                                         | 88/85                                                           | 88/85                                                           | 159/149                                                                              |
| SumTI   | 64/49                                                               | 27/28                                        | 20/23                                         | 21/24                                                           | 21/24                                                           | 30/10                                                                                |
| SumTL   | 97/126                                                              | 34/61                                        | 51/50                                         | 67/61                                                           | 67/61                                                           | 129/139                                                                              |
| SumTP   | 19/34                                                               | 7/19                                         | 19/15                                         | 26/19                                                           | 13/6                                                            | 52/77                                                                                |
| SumTU   | 78/92                                                               | 27/42                                        | 32/35                                         | 41/42                                                           | 54/55                                                           | 77/62                                                                                |
| Tenure  | [36, 36, 21, 21, 11, 10, 10, 9, 7]/[36, 36, 26, 25, 25, 9, 7, 6, 5] | [21, 21, 7, 6, 6]/[21, 21, 11, 10, 10, 9, 7] | [20, 20, 12, 12, 7]/[20, 20, 12, 12, 3, 3, 3] | [22, 21, 13, 13, 7, 3, 3, 3, 3]/[22, 21, 13, 13, 4, 3, 3, 3, 3] | [22, 21, 13, 13, 7, 3, 3, 3, 3]/[22, 21, 13, 13, 4, 3, 3, 3, 3] | [21, 19, 19, 14, 13, 12, 12, 11, 11, 10, 9, 8]/[33, 23, 22, 22, 9, 8, 8, 7, 7, 5, 5] |
| TenureI | [36, 21, 7]/[36, 7, 6]                                              | [21, 6]/[21, 7]                              | [20]/[20, 3]                                  | [21]/[21, 3]                                                    | [21]/[21, 3]                                                    | [13, 9, 8]/[5, 5]                                                                    |
| TenureL | [36, 21, 11, 10, 10, 9]/[36, 26, 25, 25, 9, 5]                      | [21, 7, 6]/[21, 11, 10, 10, 9]               | [20, 12, 12, 7]/[20, 12, 12, 3, 3]            | [22, 13, 13, 7, 3, 3, 3, 3]/[22, 13, 13, 4, 3, 3, 3]            | [22, 13, 13, 7, 3, 3, 3, 3]/[22, 13, 13, 4, 3, 3, 3]            | [21, 19, 19, 14, 12, 12, 11, 11, 10]/[33, 23, 22, 22, 9, 8, 8, 7, 7]                 |
| TenureP | [10, 9]/[25, 9]                                                     | [7]/[10, 9]                                  | [12, 7]/[12, 3]                               | [13, 7, 3, 3]/[13, 3, 3]                                        | [7, 3, 3]/[3, 3]                                                | [19, 12, 11, 10]/[33, 22, 8, 7, 7]                                                   |
| TenureU | [36, 21, 11, 10]/[36, 26, 25, 5]                                    | [21, 6]/[21, 11, 10]                         | [20, 12]/[20, 12, 3]                          | [22, 13, 3, 3]/[22, 13, 4, 3]                                   | [22, 13, 13, 3, 3]/[22, 13, 13, 4, 3]                           | [21, 19, 14, 12, 11]/[23, 22, 9, 8]                                                  |
